title
Пленарное заседание Государственной Думы
Михаил Мишустин назначен Председателем Правительства Российской Федерации
Состоялась встреча Михаила Мишустина с членами фракции политической партии «Единая Россия» в Государственной Думе
"Актуализирован перечень услуг в гостиницах, которые могут входить в стоимость размещения"
"Правительство утвердило единые требования к назначению и предоставлению федеральных, региональных и муниципальных мер социальной поддержки"
Указ о структуре федеральных органов исполнительной власти
Состоялась встреча Михаила Мишустина с членами фракции политической партии «Новые люди» в Государственной Думе
Состоялась встреча Михаила Мишустина с членами фракции политической партии «Справедливая Россия» в Государственной Думе
Михаил Мишустин внес на рассмотрение Госдумы новый состав Правительства
Госдума единогласно поддержала кандидатуру Дениса Мантурова на пост первого вице-премьера
